statistic,year,sex,age,unit,value
Median Annual Earnings,2019,Female,25 - 29 years,Euro,31664
Median Annual Earnings,2019,Female,30 - 39 years,Euro,36725
Median Annual Earnings,2019,Female,40 - 49 years,Euro,36914
Median Annual Earnings,2019,Female,50 - 59 years,Euro,33793
Median Annual Earnings,2019,Female,60 years and over,Euro,25186
Median Annual Earnings,2020,Male,15 - 24 years,Euro,23300
Median Annual Earnings,2020,Male,15 years and over,Euro,44105
Median Annual Earnings,2020,Male,25 - 29 years,Euro,36160
Median Annual Earnings,2020,Male,30 - 39 years,Euro,45018
Median Annual Earnings,2020,Male,40 - 49 years,Euro,51233
Median Annual Earnings,2020,Male,50 - 59 years,Euro,49310
Median Annual Earnings,2020,Male,60 years and over,Euro,39805
Median Annual Earnings,2020,Female,15 - 24 years,Euro,20665
Median Annual Earnings,2020,Female,15 years and over,Euro,37462
Median Annual Earnings,2020,Female,25 - 29 years,Euro,35221
Median Annual Earnings,2020,Female,30 - 39 years,Euro,41081
Median Annual Earnings,2020,Female,40 - 49 years,Euro,41084
Median Annual Earnings,2020,Female,50 - 59 years,Euro,37651
Median Annual Earnings,2020,Female,60 years and over,Euro,29875
Median Annual Earnings,2021,Male,15 - 24 years,Euro,23532
Median Annual Earnings,2021,Male,15 years and over,Euro,44892
Median Annual Earnings,2021,Male,25 - 29 years,Euro,37756
Median Annual Earnings,2021,Male,30 - 39 years,Euro,46036
Median Annual Earnings,2021,Male,40 - 49 years,Euro,51596
Median Annual Earnings,2021,Male,50 - 59 years,Euro,49582
Median Annual Earnings,2021,Male,60 years and over,Euro,39414
Median Annual Earnings,2021,Female,15 - 24 years,Euro,20657
Median Annual Earnings,2021,Female,15 years and over,Euro,37894
Median Annual Earnings,2021,Female,25 - 29 years,Euro,36317
Median Annual Earnings,2021,Female,30 - 39 years,Euro,41529
Median Annual Earnings,2021,Female,40 - 49 years,Euro,41512
Median Annual Earnings,2021,Female,50 - 59 years,Euro,38049
Median Annual Earnings,2021,Female,60 years and over,Euro,29954
Median Annual Earnings,2022,Male,15 - 24 years,Euro,22845
Median Annual Earnings,2022,Male,15 years and over,Euro,45537
